formula,property
Hf-Cr-Au-N,0.19172917
Hf-Cr-Bi-C,0.25522938
Hf-Cr-Bi-N,0.4063633
Hf-Cr-Cd-C,0.16479269
Hf-Cr-Cd-N,0.2278903
Hf-Cr-Co-C,0.29422846
Hf-Cr-Co-N,0.34196573
Hf-Cr-Cu-C,0.3266681
Hf-Cr-Cu-N,0.26912484
Hf-Cr-Fe-C,0.37547207
Hf-Cr-Fe-N,0.50762814
Hf-Cr-Ga-C,0.08959669
Hf-Cr-Ga-N,0.13442461
Hf-Cr-Ge-C,0.11753772
Hf-Cr-Ge-N,0.19463578
Hf-Cr-In-C,0.16356693
Hf-Cr-In-N,0.21471255
Hf-Cr-Ni-C,0.25531402
Hf-Cr-Ni-N,0.31687313
Hf-Cr-P-C,0.15154295
Hf-Cr-P-N,0.20129393
Hf-Cr-Pb-C,0.28048646
Hf-Cr-Pb-N,0.35653275
Hf-Cr-S-C,0.15728478
Hf-Cr-S-N,0.28445017
Hf-Cr-Sb-C,0.20034896
Hf-Cr-Sb-N,0.31072503
Hf-Cr-Si-C,0.1856407
Hf-Cr-Si-N,0.29911277
Hf-Cr-Sn-C,0.15846436
Hf-Cr-Sn-N,0.22605786
Hf-Cr-Tl-C,0.1933328
Hf-Cr-Tl-N,0.3096065
Hf-Cr-Zn-C,0.12790011
Hf-Cr-Zn-N,0.21385244
Hf-Hf-Al-C,0.0037038997
Hf-Hf-Al-N,0.015134341
Hf-Hf-As-C,0.035385612
Hf-Hf-As-N,0.113274544
Hf-Hf-Au-C,0.064635925
Hf-Hf-Au-N,0.07952272
Hf-Hf-Bi-C,0.039867356
Hf-Hf-Bi-N,0.17533112
Hf-Hf-Cd-C,0.0405304
Hf-Hf-Cd-N,3.4299133e-05
Hf-Hf-Co-C,0.27108672
Hf-Hf-Co-N,0.2580763
Hf-Hf-Cu-C,0.12673181
Hf-Hf-Cu-N,0.13988695
Hf-Hf-Fe-C,0.30406904
Hf-Hf-Fe-N,0.3050983
Hf-Hf-Ga-C,0.00082025427
Hf-Hf-Ga-N,0.010496372
Hf-Hf-Ge-C,0.041179255
Hf-Hf-Ge-N,0.11217279
Hf-Hf-In-C,0.023528542
Hf-Hf-In-N,0.009896554
Hf-Hf-Ni-C,0.21969019
Hf-Hf-Ni-N,0.19737563
Hf-Hf-P-C,0.053949412
Hf-Hf-P-N,0.11000887
Hf-Hf-Pb-C,0.017649934
Hf-Hf-Pb-N,0.10241457
Hf-Hf-S-C,0.06015255
Hf-Hf-S-N,0.13568503
Hf-Hf-Sb-C,0.05144449
Hf-Hf-Sb-N,0.17595911
Hf-Hf-Si-C,0.10715119
Hf-Hf-Si-N,0.17598693
Hf-Hf-Sn-C,0.040093157
Hf-Hf-Sn-N,0.06819331
Hf-Hf-Tl-C,0.040025312
Hf-Hf-Tl-N,0.028960556
Hf-Hf-Zn-C,0.07029782
Hf-Hf-Zn-N,0.06783042
Hf-Lu-Al-C,0.045134813
Hf-Lu-Al-N,0.027353253
Hf-Lu-As-C,0.2126978
Hf-Lu-As-N,0.15944964
Hf-Lu-Au-C,0.19348659
Hf-Lu-Au-N,0.120934166
Hf-Lu-Bi-C,0.12943824
Hf-Lu-Bi-N,0.2299311
Hf-Lu-Cd-C,0.10122062
Hf-Lu-Cd-N,0.028160589
Hf-Lu-Co-C,0.20365526
Hf-Lu-Co-N,0.16336301
Hf-Lu-Cu-C,0.18709666
Hf-Lu-Cu-N,0.12621853
Hf-Lu-Fe-C,0.22879195
Hf-Lu-Fe-N,0.18753071
Hf-Lu-Ga-C,0.047329254
Hf-Lu-Ga-N,0.010465757
Hf-Lu-Ge-C,0.07791177
Hf-Lu-Ge-N,0.09641928
Hf-Lu-In-C,0.056282334
Hf-Lu-In-N,-0.0039532674
Hf-Lu-Ni-C,0.22085992
Hf-Lu-Ni-N,0.15204398
Hf-Lu-P-C,0.18967152
Hf-Lu-P-N,0.1687218
Hf-Lu-Pb-C,0.046938386
Hf-Lu-Pb-N,0.07645356
Hf-Lu-S-C,0.09373435
Hf-Lu-S-N,0.10888015
Hf-Lu-Sb-C,0.17345552
Hf-Lu-Sb-N,0.17093636
Hf-Lu-Si-C,0.1230589
Hf-Lu-Si-N,0.1586072
Hf-Lu-Sn-C,0.05413176
Hf-Lu-Sn-N,0.061046403
Hf-Lu-Tl-C,0.04502916
Hf-Lu-Tl-N,0.021399735
Hf-Lu-Zn-C,0.103735305
Hf-Lu-Zn-N,0.038978178
Hf-Mn-Al-C,0.18744083
Hf-Mn-Al-N,0.26801723
Hf-Mn-As-C,0.1568573
Hf-Mn-As-N,0.22532362
Hf-Mn-Au-C,0.12509991
Hf-Mn-Au-N,0.1891763
Hf-Mn-Bi-C,0.21173511
Hf-Mn-Bi-N,0.39892745
Hf-Mn-Cd-C,0.18992992
Hf-Mn-Cd-N,0.1937726
Hf-Mn-Co-C,0.48762864
Hf-Mn-Co-N,0.408458
Hf-Mn-Cu-C,0.22644573
Hf-Mn-Cu-N,0.269795
Hf-Mn-Fe-C,0.46981665
Hf-Mn-Fe-N,0.46760228
Hf-Mn-Ga-C,0.1137062
Hf-Mn-Ga-N,0.19264601
Hf-Mn-Ge-C,0.14565542
Hf-Mn-Ge-N,0.24692242
Hf-Mn-In-C,0.17972288
Hf-Mn-In-N,0.21374594
Hf-Mn-Ni-C,0.36190647
Hf-Mn-Ni-N,0.30132362
Hf-Mn-P-C,0.21195394
Hf-Mn-P-N,0.270202
Hf-Mn-Pb-C,0.24176344
Hf-Mn-Pb-N,0.36008665
Hf-Mn-S-C,0.15092543
Hf-Mn-S-N,0.23318559
Hf-Mn-Sb-C,0.2393945
Hf-Mn-Sb-N,0.30426967
Hf-Mn-Si-C,0.29574144
Hf-Mn-Si-N,0.35072783
Hf-Mn-Sn-C,0.1615021
Hf-Mn-Sn-N,0.23904312
Hf-Mn-Tl-C,0.25470814
Hf-Mn-Tl-N,0.2859863
Hf-Mn-Zn-C,0.16050121
Hf-Mn-Zn-N,0.20618914
Hf-Mo-Al-C,0.062743135
Hf-Mo-Al-N,0.22222526
Hf-Mo-As-C,0.057113227
Hf-Mo-As-N,0.2363745
Hf-Mo-Au-C,0.1231515
Hf-Mo-Au-N,0.20706567
Hf-Mo-Bi-C,0.17000653
Hf-Mo-Bi-N,0.40769482
Hf-Mo-Cd-C,0.104356185
Hf-Mo-Cd-N,0.26652232
Hf-Mo-Co-C,0.31735218
Hf-Mo-Co-N,0.42376146
Hf-Mo-Cu-C,0.17641751
Hf-Mo-Cu-N,0.24951312
Hf-Mo-Fe-C,0.4534505
Hf-Mo-Fe-N,0.5190897
Hf-Mo-Ga-C,0.031995665
Hf-Mo-Ga-N,0.18275702
Hf-Mo-Ge-C,0.057366733
Hf-Mo-Ge-N,0.20497407
Hf-Mo-In-C,0.07110647
Hf-Mo-In-N,0.16595969
Hf-Mo-Ni-C,0.25293276
Hf-Mo-Ni-N,0.39883742
Hf-Mo-P-C,0.13860744
Hf-Mo-P-N,0.22767574
Hf-Mo-Pb-C,0.19577809
Hf-Mo-Pb-N,0.35311583
Hf-Mo-S-C,0.12788844
Hf-Mo-S-N,0.30434832
Hf-Mo-Sb-C,0.09158798
Hf-Mo-Sb-N,0.25599062
Hf-Mo-Si-C,0.16494974
Hf-Mo-Si-N,0.29951096
Hf-Mo-Sn-C,0.07660912
Hf-Mo-Sn-N,0.21582438
Hf-Mo-Tl-C,0.15485342
Hf-Mo-Tl-N,0.2969344
Hf-Mo-Zn-C,0.08389039
Hf-Mo-Zn-N,0.1869933
Hf-Nb-Al-C,0.014579229
Hf-Nb-Al-N,0.0816304
Hf-Nb-As-C,0.014836424
Hf-Nb-As-N,0.1311007
Hf-Nb-Au-C,0.06390063
Hf-Nb-Au-N,0.09242135
Hf-Nb-Bi-C,0.09818413
Hf-Nb-Bi-N,0.23324022
Hf-Nb-Cd-C,0.02518722
